BusinessEntityID,Severity,IncidentDate,ClosureDate
8688,Medium,5/6/2014,5/7/2014
4818,High,10/23/2013,10/29/2013
15286,Low,6/23/2014,6/23/2014
17750,Low,7/13/2011,7/14/2011
8553,High,8/10/2011,8/17/2011
1148,Medium,10/14/2013,10/19/2013
15183,Medium,7/2/2012,7/4/2012
7990,High,1/25/2012,1/25/2012
9800,Low,6/20/2013,6/20/2013
1133,Low,6/16/2011,6/18/2011
13422,High,12/29/2012,1/3/2013
5818,Medium,10/7/2012,10/10/2012
7355,High,8/27/2011,8/27/2011
265,High,5/31/2013,5/31/2013
6419,Medium,2/21/2013,2/22/2013
17034,Low,10/9/2011,10/9/2011
9886,Medium,5/6/2014,5/10/2014
7615,Low,9/22/2013,9/24/2013
7129,Low,12/18/2013,12/23/2013
8818,High,8/30/2011,9/4/2011
8350,Medium,7/5/2012,7/8/2012
17784,Medium,1/12/2013,1/18/2013
4674,Low,4/6/2013,4/10/2013
1339,Low,2/15/2012,2/17/2012
16952,Medium,9/28/2013,10/5/2013
16069,Medium,8/1/2012,8/7/2012
15168,Low,8/21/2012,8/26/2012
9567,Medium,4/5/2013,4/11/2013
4540,Medium,7/23/2013,7/27/2013
13241,High,9/4/2011,9/9/2011
17327,Medium,10/23/2012,10/27/2012
3736,Medium,12/28/2012,1/4/2013
14918,Medium,5/30/2012,6/4/2012
1768,Low,3/6/2014,3/10/2014
4243,Medium,3/1/2014,3/4/2014
1055,High,6/14/2013,6/20/2013
15412,Low,5/29/2013,6/3/2013
6912,High,5/20/2012,5/22/2012
14096,High,1/29/2013,2/1/2013
12295,Medium,2/23/2012,3/1/2012
15879,High,12/22/2012,12/22/2012
6452,Medium,5/20/2012,5/22/2012
14671,Low,7/17/2011,7/23/2011
14413,High,4/19/2013,4/26/2013
2296,High,7/24/2011,7/30/2011
11066,High,11/10/2013,11/11/2013
15109,Medium,12/31/2011,1/7/2012
15016,High,11/10/2013,11/17/2013
6513,High,1/21/2014,1/22/2014
18101,Low,9/23/2011,9/23/2011
16157,High,9/26/2013,9/30/2013
725,Medium,11/26/2012,12/1/2012
1774,High,2/26/2014,2/27/2014
2574,Low,1/30/2013,2/3/2013
11628,High,4/15/2012,4/21/2012
15139,High,1/9/2013,1/16/2013
14272,Low,5/13/2014,5/16/2014
13654,Low,9/11/2013,9/11/2013
3825,Low,12/12/2012,12/16/2012
17927,Medium,1/14/2013,1/16/2013
12547,High,5/16/2014,5/18/2014
7631,Low,4/21/2014,4/23/2014
1908,Medium,12/14/2012,12/19/2012
8381,Medium,10/30/2011,11/1/2011
13253,High,12/31/2013,1/6/2014
7539,Low,11/1/2011,11/6/2011
1022,Low,6/10/2013,6/14/2013
6227,Low,2/18/2012,2/23/2012
6671,High,3/23/2012,3/28/2012
3602,Medium,1/13/2012,1/20/2012
7635,High,6/30/2011,7/5/2011
9939,High,2/19/2013,2/25/2013
8733,Medium,2/14/2014,2/14/2014
12586,Medium,4/12/2013,4/14/2013
14145,Medium,8/9/2012,8/11/2012
2999,Medium,6/2/2013,6/4/2013
6543,High,7/5/2012,7/9/2012
2365,Medium,7/27/2012,7/27/2012
14777,High,3/7/2014,3/8/2014
10422,Medium,12/23/2012,12/25/2012
2237,Low,2/12/2013,2/18/2013
13039,Medium,7/18/2013,7/22/2013
15921,Medium,2/5/2014,2/10/2014
8306,Low,3/14/2014,3/14/2014
14756,High,9/5/2012,9/6/2012
378,High,3/15/2012,3/20/2012
9435,Low,4/25/2012,4/26/2012
2687,Medium,6/15/2014,6/20/2014
18507,Medium,2/25/2012,2/25/2012
8779,Low,11/14/2012,11/14/2012
15700,Medium,1/23/2014,1/23/2014
2900,Medium,4/3/2013,4/8/2013
2437,High,5/30/2012,6/6/2012
5599,Medium,10/2/2012,10/8/2012
4211,Low,6/12/2012,6/17/2012
16813,High,10/15/2011,10/19/2011
10497,Medium,6/20/2012,6/21/2012
17864,Low,8/17/2011,8/19/2011
11590,High,9/12/2013,9/19/2013
15081,Medium,8/31/2013,9/4/2013
798,High,3/22/2012,3/27/2012
3660,High,9/5/2012,9/9/2012
8786,Medium,3/17/2012,3/18/2012
3755,Medium,9/23/2012,9/30/2012
712,High,5/9/2013,5/14/2013
14944,High,10/10/2013,10/14/2013
3234,High,1/25/2012,1/30/2012
970,Low,3/5/2013,3/10/2013
7799,Medium,3/8/2012,3/15/2012
17774,Low,9/1/2012,9/6/2012
1830,High,5/21/2013,5/21/2013
18194,High,12/27/2013,1/3/2014
10079,High,2/1/2012,2/8/2012
10148,Low,6/11/2011,6/12/2011
14243,High,4/29/2014,4/29/2014
12315,Low,6/30/2014,7/3/2014
2637,Low,3/4/2013,3/6/2013
1826,Low,9/27/2013,10/1/2013
5470,Medium,12/16/2013,12/23/2013
316,High,4/29/2012,5/4/2012
1629,High,6/21/2014,6/24/2014
3956,Medium,4/27/2012,5/3/2012
9535,High,7/23/2011,7/25/2011
3247,Low,12/30/2012,12/30/2012
4007,High,12/14/2013,12/17/2013
10522,Medium,11/18/2012,11/19/2012
8484,High,1/13/2013,1/17/2013
13062,Low,8/9/2013,8/16/2013
14225,High,5/26/2012,5/29/2012
17440,High,5/16/2013,5/19/2013
9753,Medium,2/29/2012,3/3/2012
13819,Low,5/4/2012,5/10/2012
4370,Low,11/20/2012,11/25/2012
8903,Medium,6/4/2014,6/11/2014
2726,Low,9/22/2011,9/24/2011
13642,Low,8/27/2012,9/2/2012
2015,Low,11/23/2011,11/30/2011
7619,Medium,5/19/2012,5/21/2012
10133,High,1/6/2013,1/7/2013
6687,Low,5/9/2014,5/13/2014
15270,High,12/6/2011,12/11/2011
5184,High,2/10/2014,2/16/2014
17450,Low,4/16/2012,4/21/2012
16143,Medium,10/7/2011,10/12/2011
16291,High,8/31/2012,9/6/2012
16296,Medium,5/29/2014,5/30/2014
17310,High,1/26/2012,1/26/2012
17745,Medium,12/11/2011,12/14/2011
14898,Medium,9/21/2011,9/27/2011
6027,Low,7/27/2012,8/2/2012
14851,Low,3/27/2013,4/1/2013
8099,Medium,10/30/2011,11/6/2011
9318,High,12/14/2012,12/16/2012
13416,High,3/30/2014,3/30/2014
10307,High,12/4/2011,12/9/2011
11071,High,6/24/2014,6/27/2014
5093,High,9/20/2012,9/27/2012
12857,Medium,11/13/2013,11/14/2013
14107,High,8/23/2013,8/25/2013
8549,High,7/8/2011,7/13/2011
14227,Medium,9/8/2013,9/9/2013
11529,Low,5/21/2013,5/23/2013
6411,Low,12/6/2012,12/7/2012
6748,High,8/30/2011,9/1/2011
3132,Low,2/16/2012,2/16/2012
5193,Low,8/18/2011,8/19/2011
15437,Medium,5/25/2013,5/26/2013
5838,Medium,5/18/2014,5/20/2014
642,Low,3/10/2014,3/16/2014
17901,High,2/15/2014,2/19/2014
5989,Low,11/9/2013,11/11/2013
15331,High,11/12/2013,11/14/2013
9275,Medium,8/22/2012,8/26/2012
7314,Low,3/2/2013,3/2/2013
6573,Medium,9/30/2012,10/2/2012
11872,Low,11/20/2011,11/20/2011
2120,Low,1/10/2012,1/13/2012
11749,Low,9/16/2011,9/20/2011
7746,Low,1/10/2014,1/14/2014
14584,Low,1/11/2013,1/12/2013
2185,Medium,4/18/2014,4/18/2014
8446,Medium,7/22/2011,7/24/2011
5184,High,5/30/2013,6/6/2013
1987,Low,7/8/2012,7/15/2012
15844,Medium,10/18/2011,10/24/2011
15817,Low,2/26/2012,2/27/2012
6621,Medium,12/10/2013,12/17/2013
3146,High,10/1/2013,10/3/2013
5074,Medium,8/21/2013,8/28/2013
10127,Medium,10/29/2013,11/1/2013
5151,Medium,9/9/2013,9/9/2013
13373,Medium,9/12/2011,9/15/2011
1445,High,12/27/2011,12/30/2011
9578,High,3/10/2013,3/15/2013
5435,High,4/26/2013,4/27/2013
2611,High,1/19/2014,1/26/2014
16661,Medium,7/16/2012,7/20/2012
8833,Medium,10/8/2012,10/12/2012
10261,Medium,9/3/2013,9/4/2013
16774,High,1/22/2014,1/23/2014
3986,High,12/16/2012,12/22/2012
16385,Low,2/5/2014,2/7/2014
9472,High,1/27/2012,1/30/2012
18349,High,9/20/2011,9/23/2011
3124,High,11/6/2013,11/12/2013
2702,Low,9/27/2012,9/27/2012
14999,High,12/8/2013,12/11/2013
13380,Medium,4/10/2013,4/15/2013
2426,High,11/28/2013,11/28/2013
4964,Medium,7/31/2013,8/3/2013
18380,Low,2/7/2013,2/13/2013
803,High,5/6/2014,5/11/2014
1192,Low,8/4/2011,8/8/2011
8308,Low,11/25/2013,11/30/2013
7055,High,10/29/2013,10/29/2013
6761,Low,1/10/2012,1/14/2012
10856,Medium,6/25/2013,6/30/2013
6608,High,7/15/2013,7/18/2013
16352,High,3/12/2014,3/12/2014
16381,Low,10/14/2013,10/19/2013
3592,High,12/10/2013,12/12/2013
5654,Medium,4/27/2014,5/1/2014
1425,High,11/8/2011,11/11/2011
2507,Medium,4/24/2013,4/26/2013
11627,High,6/9/2012,6/12/2012
5467,High,3/20/2013,3/20/2013
4776,High,6/13/2012,6/19/2012
8447,Low,6/17/2011,6/23/2011
2161,Medium,2/13/2014,2/17/2014
13904,Medium,7/9/2013,7/14/2013
3241,High,1/17/2014,1/17/2014
7498,Medium,10/29/2013,11/3/2013
11466,Low,5/31/2011,6/2/2011
12925,Low,9/2/2011,9/3/2011
3495,High,5/11/2013,5/11/2013
3292,High,3/1/2014,3/3/2014
8470,Medium,9/10/2013,9/11/2013
7289,Low,4/7/2014,4/12/2014
13985,Low,1/12/2013,1/16/2013
10831,Medium,8/16/2011,8/19/2011
8315,High,11/6/2012,11/9/2012
11606,High,12/27/2011,12/31/2011
15596,High,11/7/2011,11/8/2011
2237,Medium,1/9/2013,1/12/2013
17969,Medium,4/15/2012,4/20/2012
17883,Medium,11/14/2013,11/15/2013
7630,Low,5/20/2013,5/23/2013
15819,Medium,9/14/2012,9/17/2012
6981,Medium,1/23/2014,1/28/2014
15569,Low,12/3/2013,12/4/2013
697,Medium,6/19/2014,6/23/2014
11025,Low,11/26/2012,11/28/2012
16358,Low,3/27/2013,3/28/2013
2765,Low,10/27/2011,10/29/2011
11716,Medium,10/21/2013,10/24/2013
5687,Low,6/9/2014,6/9/2014
10951,Medium,1/18/2013,1/24/2013
11230,Medium,4/17/2013,4/20/2013
3566,Low,7/2/2011,7/7/2011
16927,High,9/7/2013,9/8/2013
9775,Medium,4/7/2014,4/7/2014
9065,Low,11/24/2012,11/25/2012
13181,Medium,12/3/2012,12/6/2012
3726,Medium,5/20/2012,5/27/2012
12561,Medium,3/4/2013,3/7/2013
5359,Low,1/3/2012,1/8/2012
17162,Low,5/29/2014,6/2/2014
4044,High,7/23/2012,7/27/2012
5842,Low,6/9/2011,6/15/2011
13153,Medium,4/28/2013,4/30/2013
8709,Low,11/17/2012,11/23/2012
17360,Low,8/1/2013,8/8/2013
4005,Medium,7/4/2012,7/7/2012
2998,Low,6/11/2014,6/14/2014
1152,Low,8/22/2011,8/26/2011
18429,Medium,12/22/2011,12/24/2011
16650,Low,1/18/2013,1/18/2013
11051,Medium,12/19/2012,12/25/2012
8421,Medium,6/24/2011,6/28/2011
11503,High,7/20/2013,7/25/2013
14330,Medium,5/15/2013,5/16/2013
13288,High,7/30/2012,8/2/2012
12058,Low,11/1/2013,11/7/2013
14873,Low,9/30/2012,10/2/2012
7105,High,8/10/2013,8/12/2013
9600,Medium,8/14/2011,8/18/2011
7158,High,1/17/2013,1/19/2013
13968,Low,12/21/2013,12/27/2013
3046,High,1/17/2013,1/21/2013
17715,Low,9/11/2012,9/16/2012
9592,High,7/13/2012,7/17/2012
6363,High,7/13/2011,7/15/2011
8268,High,3/23/2012,3/26/2012
17150,High,9/17/2012,9/17/2012
84,High,1/13/2014,1/14/2014
15053,Low,10/14/2011,10/16/2011
3791,Low,8/16/2011,8/18/2011
13307,High,11/18/2013,11/25/2013
12064,High,6/14/2012,6/21/2012
12401,High,6/14/2014,6/21/2014
17967,Medium,1/17/2014,1/18/2014
831,High,3/13/2013,3/17/2013
10930,Low,1/3/2014,1/7/2014
8594,Medium,9/7/2011,9/10/2011
15721,Low,7/23/2013,7/30/2013
5671,Medium,8/19/2013,8/23/2013
14089,High,10/28/2011,11/4/2011
14109,High,1/24/2012,1/26/2012
15288,High,3/22/2013,3/27/2013
10985,Medium,3/23/2012,3/29/2012
892,Medium,10/27/2012,10/31/2012
16979,High,2/8/2012,2/14/2012
12712,Medium,6/20/2012,6/22/2012
2961,Medium,3/17/2012,3/21/2012
17139,Low,8/22/2013,8/29/2013
11208,Low,8/31/2012,9/5/2012
3102,Medium,12/11/2013,12/18/2013
15097,Low,10/10/2013,10/13/2013
7229,Low,3/18/2013,3/23/2013
5500,High,6/6/2012,6/6/2012
949,Low,7/26/2011,7/26/2011
5431,Medium,9/29/2012,10/2/2012
8077,High,7/7/2012,7/10/2012
9380,Medium,11/8/2013,11/12/2013
7722,Low,2/18/2012,2/23/2012
1938,Medium,7/29/2013,8/2/2013
6312,Medium,10/12/2012,10/12/2012
5463,Low,10/2/2012,10/6/2012
191,Low,12/17/2013,12/20/2013
17024,High,10/25/2013,11/1/2013
8659,Medium,8/31/2013,9/7/2013
12271,Medium,2/4/2012,2/10/2012
4262,Low,7/24/2012,7/28/2012
1246,Medium,10/25/2012,10/30/2012
10588,Medium,3/26/2014,4/1/2014
508,High,4/18/2013,4/21/2013
7668,Medium,5/20/2012,5/24/2012
339,High,11/7/2013,11/8/2013
5817,Low,6/7/2014,6/9/2014
9321,Low,11/16/2011,11/17/2011
2680,Medium,12/24/2012,12/24/2012
17712,Medium,5/2/2014,5/5/2014
4584,Medium,6/15/2014,6/22/2014
12127,Medium,9/4/2011,9/6/2011
17074,Low,12/23/2013,12/28/2013
10532,Medium,10/9/2012,10/14/2012
14041,High,8/8/2011,8/9/2011
823,Low,12/8/2013,12/12/2013
16687,High,11/26/2011,11/29/2011
5603,Medium,11/8/2012,11/10/2012
12306,Medium,12/22/2012,12/24/2012
3780,Low,12/23/2013,12/26/2013
4086,Medium,3/16/2014,3/19/2014
17093,Medium,11/2/2012,11/5/2012
16980,Low,9/10/2012,9/14/2012
10942,High,8/29/2011,9/1/2011
1771,Low,6/30/2012,7/6/2012
16188,High,11/22/2012,11/25/2012
6921,High,4/19/2014,4/22/2014
12255,Low,8/28/2012,9/2/2012
14174,High,10/2/2012,10/3/2012
11655,Low,6/14/2012,6/14/2012
839,High,7/31/2011,8/7/2011
6298,High,11/19/2012,11/25/2012
15570,Low,9/21/2012,9/22/2012
637,Low,3/17/2013,3/22/2013
4568,High,10/10/2013,10/12/2013
973,Medium,5/24/2013,5/31/2013
5941,Low,1/3/2013,1/6/2013
5009,High,1/21/2012,1/27/2012
538,Low,12/25/2011,12/31/2011
2450,Medium,5/20/2012,5/22/2012
6507,High,7/17/2013,7/18/2013
8510,Low,9/16/2011,9/17/2011
14481,Medium,7/24/2012,7/30/2012
18330,High,4/3/2014,4/6/2014
13182,High,1/6/2014,1/7/2014
7024,Low,8/20/2012,8/27/2012
13902,Medium,8/14/2013,8/18/2013
8628,Medium,1/10/2014,1/17/2014
10464,Medium,6/5/2012,6/12/2012
13377,High,12/16/2011,12/21/2011
14541,Low,9/16/2013,9/20/2013
865,Low,8/13/2013,8/15/2013
2047,High,10/29/2012,11/1/2012
17924,High,10/30/2012,11/5/2012
1006,High,2/26/2013,3/4/2013
5062,Medium,2/15/2012,2/19/2012
15993,Medium,6/13/2012,6/17/2012
8042,Low,6/17/2014,6/23/2014
1507,High,8/11/2013,8/18/2013
5180,Medium,12/11/2011,12/17/2011
9460,Medium,7/30/2013,7/30/2013
17370,Medium,4/18/2013,4/21/2013
12962,Medium,3/18/2014,3/19/2014
1902,Medium,12/11/2013,12/16/2013
16931,High,7/11/2012,7/13/2012
5663,Medium,12/30/2012,12/31/2012
51,Medium,6/5/2011,6/9/2011
9834,Medium,5/18/2012,5/24/2012
16963,High,5/24/2014,5/29/2014
6515,Low,10/30/2011,11/6/2011
17704,Medium,8/30/2011,9/2/2011
16347,Medium,10/20/2012,10/27/2012
8198,Low,4/13/2012,4/17/2012
9667,High,10/4/2012,10/9/2012
8186,High,12/12/2012,12/16/2012
18057,Medium,12/7/2013,12/14/2013
3273,Medium,2/13/2013,2/18/2013
13334,Low,5/25/2012,5/29/2012
14772,Low,7/20/2013,7/26/2013
5572,Low,7/21/2011,7/24/2011
3296,Medium,8/1/2011,8/3/2011
9026,High,5/8/2012,5/11/2012
3393,Medium,3/20/2013,3/26/2013
12739,Medium,5/22/2014,5/23/2014
9427,High,9/1/2011,9/1/2011
12583,High,10/2/2013,10/8/2013
15216,Medium,4/2/2013,4/3/2013
5173,High,8/3/2012,8/8/2012
13964,Medium,2/28/2014,3/2/2014
59,Low,11/27/2013,11/28/2013
7985,Low,5/4/2012,5/11/2012
16233,High,3/15/2014,3/19/2014
13290,High,3/28/2013,4/2/2013
18244,Low,11/1/2013,11/7/2013
2779,Medium,1/9/2012,1/11/2012
6545,Low,12/15/2013,12/15/2013
13007,High,11/4/2011,11/8/2011
13359,Low,12/17/2013,12/21/2013
8614,Low,5/16/2014,5/23/2014
1355,Medium,6/23/2012,6/29/2012
9206,High,2/25/2013,2/25/2013
16004,High,10/12/2013,10/17/2013
6129,Low,1/22/2013,1/27/2013
5467,Medium,11/23/2013,11/27/2013
11029,High,12/27/2013,12/29/2013
1417,High,10/1/2013,10/7/2013
5678,High,6/29/2014,6/30/2014
8486,Medium,3/5/2013,3/6/2013
3462,High,5/11/2013,5/14/2013
9429,High,6/19/2011,6/21/2011
7484,Medium,3/10/2012,3/17/2012
17884,Low,11/7/2012,11/13/2012
17879,Medium,12/19/2012,12/23/2012
3327,Medium,5/9/2014,5/13/2014
16122,Medium,1/8/2014,1/15/2014
11302,High,6/28/2011,7/2/2011
1732,Low,6/10/2014,6/13/2014
1724,High,2/18/2013,2/19/2013
743,Low,2/20/2014,2/27/2014
16136,Medium,8/26/2013,8/28/2013
2377,Low,7/14/2012,7/14/2012
10827,Medium,1/9/2012,1/14/2012
13133,Low,4/10/2013,4/11/2013
7560,High,2/26/2012,3/3/2012
12515,Medium,10/3/2013,10/5/2013
1072,Low,8/21/2013,8/25/2013
5245,Medium,10/8/2012,10/15/2012
15468,Low,1/5/2014,1/5/2014
3501,Medium,7/28/2011,7/30/2011
9255,Low,10/9/2012,10/16/2012
13146,Medium,2/11/2012,2/12/2012
6332,High,5/12/2012,5/14/2012
13462,Low,1/26/2012,2/2/2012
14031,Medium,7/3/2011,7/6/2011
18348,Low,5/29/2014,6/2/2014
9543,Medium,3/9/2012,3/13/2012
1242,High,7/13/2011,7/20/2011
4076,High,2/4/2012,2/6/2012
16378,High,9/27/2011,9/29/2011
9313,Medium,4/9/2014,4/14/2014
3081,Low,10/27/2011,11/2/2011
5848,Low,5/18/2012,5/21/2012
6726,Low,6/19/2012,6/23/2012
12356,Low,11/19/2013,11/19/2013
6708,Low,4/8/2012,4/9/2012
12695,Medium,6/10/2011,6/16/2011
16941,High,12/19/2012,12/21/2012
2746,Medium,8/23/2011,8/28/2011
3061,Low,4/28/2014,4/28/2014
5867,High,4/23/2014,4/30/2014
12595,Low,4/11/2014,4/12/2014
15816,Medium,6/25/2011,6/29/2011
12437,Medium,10/31/2012,11/7/2012
5717,Low,3/21/2013,3/25/2013
5603,Low,3/21/2014,3/23/2014
10471,Medium,6/1/2011,6/1/2011
11423,Low,9/27/2013,10/4/2013
9236,Medium,5/6/2014,5/9/2014
13181,Medium,5/21/2014,5/28/2014
502,Low,4/14/2012,4/19/2012
12520,High,4/28/2013,5/5/2013
1363,High,5/7/2012,5/7/2012
10769,Low,2/26/2013,3/3/2013
14682,High,1/7/2014,1/10/2014
861,Low,12/22/2013,12/25/2013
2071,Medium,1/3/2014,1/10/2014
11583,High,6/27/2011,7/3/2011
8275,Low,12/21/2011,12/22/2011
5788,Low,12/13/2012,12/20/2012
2663,Medium,10/5/2013,10/5/2013
13049,High,6/18/2014,6/24/2014
15344,Medium,3/2/2012,3/5/2012
5212,Medium,2/29/2012,2/29/2012
14169,Medium,12/11/2011,12/17/2011
40,High,3/4/2013,3/10/2013
2886,Low,7/9/2012,7/9/2012
8906,Low,11/16/2011,11/20/2011
10004,Medium,6/29/2011,6/30/2011
12371,High,6/7/2011,6/9/2011
7966,Medium,6/13/2013,6/16/2013
14485,High,1/8/2012,1/10/2012
4051,High,12/2/2011,12/9/2011
14270,Medium,5/20/2013,5/24/2013
2150,Medium,7/26/2012,7/27/2012
17327,Medium,11/30/2013,12/1/2013
14008,High,5/25/2013,5/29/2013
4107,Low,3/6/2012,3/6/2012
16715,High,2/12/2014,2/19/2014
7348,Medium,12/4/2012,12/5/2012
17525,Medium,1/24/2013,1/31/2013
14063,High,6/30/2011,7/5/2011
1703,Low,3/24/2012,3/30/2012
7169,High,4/25/2013,4/30/2013
110,Low,11/21/2011,11/24/2011
3548,High,4/1/2012,4/4/2012
8993,Medium,12/11/2013,12/17/2013
7111,Medium,10/21/2013,10/25/2013
5096,Medium,8/14/2013,8/15/2013
310,High,1/24/2013,1/31/2013
3558,Low,11/26/2013,11/27/2013
3550,Low,8/11/2012,8/18/2012
15256,Low,10/4/2011,10/9/2011
3193,Low,10/2/2012,10/8/2012
16221,Medium,11/11/2012,11/12/2012
2595,Medium,3/5/2014,3/5/2014
13228,Medium,11/9/2013,11/12/2013
2026,Medium,3/26/2014,3/29/2014
4443,Medium,2/5/2013,2/11/2013
5887,Medium,6/24/2013,6/28/2013
7016,High,5/26/2014,5/30/2014
13431,Low,1/6/2014,1/8/2014
11013,High,6/24/2014,6/30/2014
4230,Medium,6/9/2012,6/10/2012
14420,Medium,11/10/2012,11/10/2012
8043,Medium,8/11/2011,8/13/2011
3610,Low,11/21/2012,11/28/2012
4873,Medium,5/13/2013,5/16/2013
3397,High,6/26/2011,7/2/2011
16057,High,3/2/2014,3/4/2014
7425,Low,9/24/2012,9/28/2012
24,High,12/29/2012,1/2/2013
3999,Medium,2/10/2013,2/17/2013
17441,Low,6/4/2014,6/7/2014
7090,High,10/9/2012,10/12/2012
9735,Low,8/22/2012,8/28/2012
1092,Low,9/7/2011,9/14/2011
11155,Medium,2/15/2012,2/15/2012
626,Medium,2/14/2013,2/21/2013
10711,Low,9/3/2011,9/5/2011
9085,High,7/18/2011,7/25/2011
13478,High,1/6/2014,1/12/2014
14814,High,11/24/2012,11/28/2012
